Product Name,Product URL,Product Price,Product Rating,Product Rating Count
"Puma Unisex-Adult teamGOAL 23 Backpack, Electric Blue Lemonade-Black (7685402)",https://www.amazon.in/teamGOAL-Backpack-Electric-Lemonade-Black/dp/B07XPC93F5/ref=sr_1_142?keywords=Bags&qid=1697564583&sr=8-142,339,4.2 out of 5 stars,608
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_143?keywords=Bags&qid=1697564583&sr=8-143,"1,599",3.4 out of 5 stars,140
HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (Grey & Mehdi Green),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzQyMzcwMzYzNzI1NjU0OjE2OTc1NjQ1ODM6c3BfYnRmOjMwMDA3MTQ5NTM5MTgzMjo6MDo6&url=%2FHEROZ-Backpack-Resistant-Computer-17-3-inch%2Fdp%2FB083NBRVCJ%2Fref%3Dsr_1_144_sspa%3Fkeywords%3DBags%26qid%3D1697564583%26sr%3D8-144-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DAGHKR430JFM4U,689,4.0 out of 5 stars,"6,870"
BENICIA Polyester Waterproof School Bag/College Laptop Backpack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzQyMzcwMzYzNzI1NjU0OjE2OTc1NjQ1ODM6c3BfYnRmOjIwMDM3MjUxNzM3MTk4OjowOjo&url=%2FBenicia-Spacious-Waterproof-Backpack-College%2Fdp%2FB09MFPC2FV%2Fref%3Dsr_1_145_sspa%3Fkeywords%3DBags%26qid%3D1697564583%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,999,4.3 out of 5 stars,503
"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",https://aax-eu.amazon.in/x/c/RIrSmCIEAA-qiOatDd2SDGYAAAGLPrvrMAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBCJZiZ/https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3%3Aamzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&cv_ct_cx=Bags&keywords=Bags&pd_rd_i=B082PKX18C&pd_rd_r=efc8728f-6746-41cf-8ad0-1fcdfb546224&pd_rd_w=17GYn&pd_rd_wg=ozPMz&pf_rd_p=b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&pf_rd_r=W6BQ729WPC48WYWN2V9C&qid=1697564583&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-129-ad43fbe4-6f9c-4603-ab45-acb189caa93f,639,4.0 out of 5 stars,"4,173"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODk0ODczMzc1MjQ2NjU0OjE2OTc1NjQ1OTE6c3BfYXRmX25leHQ6MjAwOTI1MjU5Nzk2OTg6OjA6Og&url=%2FNumber-Backpack-Compartment-Charging-Organizer%2Fdp%2FB09VTCNN75%2Fref%3Dsr_1_145_sspa%3Fkeywords%3DBags%26qid%3D1697564591%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"2,956",3.3 out of 5 stars,37
"HARISSONS Sirius 45 Ltrs Executive Laptop Backpack for Men & Women, Compatible Upto 15.6 Inch | Built-in Waterproof Raincover, USB & Headphone Charging Connector & Free Laptop Charger Pouch",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODk0ODczMzc1MjQ2NjU0OjE2OTc1NjQ1OTE6c3BfYXRmX25leHQ6MjAwMjQxNTg3NjMzMDg6OjA6Og&url=%2FHARISSONS-Executive-Compatible-Waterproof-Raincover%2Fdp%2FB07MK7G5Z2%2Fref%3Dsr_1_146_sspa%3Fkeywords%3DBags%26qid%3D1697564591%26sr%3D8-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,149,4.1 out of 5 stars,173
"Zureni OXO-Biodegradable Garbage Dustbin Bags (Large, 60 x 81 cm) Drawstring Anti-drip Trash Waste Basket Bag for Kitchen Office Warehouse Pantry (Black, Green, Blue, 3 x 15 Pcs/Roll)",https://www.amazon.in/Zureni-OXO-Biodegradable-Drawstring-Anti-drip-Warehouse/dp/B0BTHC4F2T/ref=sr_1_147?keywords=Bags&qid=1697564591&sr=8-147,189,3.8 out of 5 stars,"2,612"
Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6/ref=sr_1_148?keywords=Bags&qid=1697564591&sr=8-148,452,4.4 out of 5 stars,"6,069"
Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_149?keywords=Bags&qid=1697564591&sr=8-149,365,3.7 out of 5 stars,8
"SFANE Polyester Red Duffel Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoe Compartment (Black) (Red) Set Of 1",https://www.amazon.in/SFANE-Polyester-Shoulder-Separate-Compartment/dp/B08KG7J7L5/ref=sr_1_145?keywords=Bags&qid=1697564591&sr=8-145,270,3.6 out of 5 stars,6
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS/ref=sr_1_146?keywords=Bags&qid=1697564591&sr=8-146,269,4.3 out of 5 stars,173
